ID,类型,类别,场景,初始条件,演化记录,结论,证据,问题代码,原因/说明
N011,正常,基线矩阵,Online Group Chat × thinking_deep：常规单轮输入-输出,前景场=Online Group Chat（group / remote / stream / persistent / weak / members_only / engaged / conventional）；活动=thinking_deep（深度思考，urgent_only，输出低，anchored）；无故障；若为 co_located 则 place_id 已匹配。,t0 群消息到达；t1 priorityOf 由 engaged 与是否 mention 决定；t2 using_phone/computer 可直接感知，深写/深思/休息多缓冲；t3 输出为群消息/mention/附件。,通过,E_FIELD + E_OPS + E_COMBO + E_ACTIVITY,,群聊门控总体闭环；但 exercising/recovering/resting 等活动与群聊的细粒度耦合主要靠 RuntimeEnvelope 外推。
N012,正常,基线矩阵,Online Group Chat × resting：常规单轮输入-输出,前景场=Online Group Chat（group / remote / stream / persistent / weak / members_only / engaged / conventional）；活动=resting（休息，低输出，唤醒门槛升高）；无故障；若为 co_located 则 place_id 已匹配。,t0 群消息到达；t1 priorityOf 由 engaged 与是否 mention 决定；t2 using_phone/computer 可直接感知，深写/深思/休息多缓冲；t3 输出为群消息/mention/附件。,部分通过,E_FIELD + E_OPS + E_COMBO + E_ACTIVITY,I11,群聊门控总体闭环；但 exercising/recovering/resting 等活动与群聊的细粒度耦合主要靠 RuntimeEnvelope 外推。
N013,正常,基线矩阵,Online Group Chat × exercising：常规单轮输入-输出,前景场=Online Group Chat（group / remote / stream / persistent / weak / members_only / engaged / conventional）；活动=exercising（运动，身体占用高，外部输入低频）；无故障；若为 co_located 则 place_id 已匹配。,t0 群消息到达；t1 priorityOf 由 engaged 与是否 mention 决定；t2 using_phone/computer 可直接感知，深写/深思/休息多缓冲；t3 输出为群消息/mention/附件。,部分通过,E_FIELD + E_OPS + E_COMBO + E_ACTIVITY,I11,群聊门控总体闭环；但 exercising/recovering/resting 等活动与群聊的细粒度耦合主要靠 RuntimeEnvelope 外推。
N014,正常,基线矩阵,Online Group Chat × recovering：常规单轮输入-输出,前景场=Online Group Chat（group / remote / stream / persistent / weak / members_only / engaged / conventional）；活动=recovering（恢复态，P0/P1 生存规则优先，consuming 活动受限）；无故障；若为 co_located 则 place_id 已匹配。,t0 群消息到达；t1 priorityOf 由 engaged 与是否 mention 决定；t2 using_phone/computer 可直接感知，深写/深思/休息多缓冲；t3 输出为群消息/mention/附件。,部分通过,E_FIELD + E_OPS + E_COMBO + E_ACTIVITY,I11,群聊门控总体闭环；但 exercising/recovering/resting 等活动与群聊的细粒度耦合主要靠 RuntimeEnvelope 外推。
N015,正常,基线矩阵,Remote Direct Chat × using_phone：常规单轮输入-输出,前景场=Remote Direct Chat（dyadic / remote / stream / persistent / weak / members_only / engaged / conventional）；活动=using_phone（手机交互，输入开放较高，可移动）；无故障；若为 co_located 则 place_id 已匹配。,t0 一对一消息到达；t1 dyadic+engaged 使 direct/mention 级事件更易跨阈值；t2 低开放活动可延迟但不应丢失；t3 回复写回对应 context。,通过,E_FIELD + E_OPS + E_COMBO,,一对一直聊是当前规范里支持度最高的通信形态之一。
N016,正常,基线矩阵,Remote Direct Chat × using_computer：常规单轮输入-输出,前景场=Remote Direct Chat（dyadic / remote / stream / persistent / weak / members_only / engaged / conventional）；活动=using_computer（电脑交互，中等开放，中等输出）；无故障；若为 co_located 则 place_id 已匹配。,t0 一对一消息到达；t1 dyadic+engaged 使 direct/mention 级事件更易跨阈值；t2 低开放活动可延迟但不应丢失；t3 回复写回对应 context。,通过,E_FIELD + E_OPS + E_COMBO,,一对一直聊是当前规范里支持度最高的通信形态之一。
N017,正常,基线矩阵,Remote Direct Chat × writing_on_computer：常规单轮输入-输出,前景场=Remote Direct Chat（dyadic / remote / stream / persistent / weak / members_only / engaged / conventional）；活动=writing_on_computer（深度写作，输入稀疏，可中断性低，通常 anchored）；无故障；若为 co_located 则 place_id 已匹配。,t0 一对一消息到达；t1 dyadic+engaged 使 direct/mention 级事件更易跨阈值；t2 低开放活动可延迟但不应丢失；t3 回复写回对应 context。,通过,E_FIELD + E_OPS + E_COMBO,,一对一直聊是当前规范里支持度最高的通信形态之一。
N018,正常,基线矩阵,Remote Direct Chat × thinking_deep：常规单轮输入-输出,前景场=Remote Direct Chat（dyadic / remote / stream / persistent / weak / members_only / engaged / conventional）；活动=thinking_deep（深度思考，urgent_only，输出低，anchored）；无故障；若为 co_located 则 place_id 已匹配。,t0 一对一消息到达；t1 dyadic+engaged 使 direct/mention 级事件更易跨阈值；t2 低开放活动可延迟但不应丢失；t3 回复写回对应 context。,通过,E_FIELD + E_OPS + E_COMBO,,一对一直聊是当前规范里支持度最高的通信形态之一。
N019,正常,基线矩阵,Remote Direct Chat × resting：常规单轮输入-输出,前景场=Remote Direct Chat（dyadic / remote / stream / persistent / weak / members_only / engaged / conventional）；活动=resting（休息，低输出，唤醒门槛升高）；无故障；若为 co_located 则 place_id 已匹配。,t0 一对一消息到达；t1 dyadic+engaged 使 direct/mention 级事件更易跨阈值；t2 低开放活动可延迟但不应丢失；t3 回复写回对应 context。,通过,E_FIELD + E_OPS + E_COMBO,,一对一直聊是当前规范里支持度最高的通信形态之一。
N020,正常,基线矩阵,Remote Direct Chat × exercising：常规单轮输入-输出,前景场=Remote Direct Chat（dyadic / remote / stream / persistent / weak / members_only / engaged / conventional）；活动=exercising（运动，身体占用高，外部输入低频）；无故障；若为 co_located 则 place_id 已匹配。,t0 一对一消息到达；t1 dyadic+engaged 使 direct/mention 级事件更易跨阈值；t2 低开放活动可延迟但不应丢失；t3 回复写回对应 context。,通过,E_FIELD + E_OPS + E_COMBO,,一对一直聊是当前规范里支持度最高的通信形态之一。
N021,正常,基线矩阵,Remote Direct Chat × recovering：常规单轮输入-输出,前景场=Remote Direct Chat（dyadic / remote / stream / persistent / weak / members_only / engaged / conventional）；活动=recovering（恢复态，P0/P1 生存规则优先，consuming 活动受限）；无故障；若为 co_located 则 place_id 已匹配。,t0 一对一消息到达；t1 dyadic+engaged 使 direct/mention 级事件更易跨阈值；t2 低开放活动可延迟但不应丢失；t3 回复写回对应 context。,通过,E_FIELD + E_OPS + E_COMBO,,一对一直聊是当前规范里支持度最高的通信形态之一。
N022,正常,基线矩阵,Co-located Conversation × using_phone：常规单轮输入-输出,前景场=Co-located Conversation（small / co_located / live / ephemeral / weak / members_only / engaged / conventional）；活动=using_phone（手机交互，输入开放较高，可移动）；无故障；若为 co_located 则 place_id 已匹配。,t0 physical_location 与 context.place_id 对齐；t1 本地对话/近身事件经 place_id 注入；t2 若前景另有所属则按物理场+前景场动作并集处理；t3 可说话/点头/不回复。,通过,E_FIELD + E_LOCAL + E_COMBO,,co_located + place_id + 动作并集可闭环；但 recovering 下更强本地强制事件细则仍偏粗。
N023,正常,基线矩阵,Co-located Conversation × using_computer：常规单轮输入-输出,前景场=Co-located Conversation（small / co_located / live / ephemeral / weak / members_only / engaged / conventional）；活动=using_computer（电脑交互，中等开放，中等输出）；无故障；若为 co_located 则 place_id 已匹配。,t0 physical_location 与 context.place_id 对齐；t1 本地对话/近身事件经 place_id 注入；t2 若前景另有所属则按物理场+前景场动作并集处理；t3 可说话/点头/不回复。,通过,E_FIELD + E_LOCAL + E_COMBO,,co_located + place_id + 动作并集可闭环；但 recovering 下更强本地强制事件细则仍偏粗。
N024,正常,基线矩阵,Co-located Conversation × writing_on_computer：常规单轮输入-输出,前景场=Co-located Conversation（small / co_located / live / ephemeral / weak / members_only / engaged / conventional）；活动=writing_on_computer（深度写作，输入稀疏，可中断性低，通常 anchored）；无故障；若为 co_located 则 place_id 已匹配。,t0 physical_location 与 context.place_id 对齐；t1 本地对话/近身事件经 place_id 注入；t2 若前景另有所属则按物理场+前景场动作并集处理；t3 可说话/点头/不回复。,通过,E_FIELD + E_LOCAL + E_COMBO,,co_located + place_id + 动作并集可闭环；但 recovering 下更强本地强制事件细则仍偏粗。
N025,正常,基线矩阵,Co-located Conversation × thinking_deep：常规单轮输入-输出,前景场=Co-located Conversation（small / co_located / live / ephemeral / weak / members_only / engaged / conventional）；活动=thinking_deep（深度思考，urgent_only，输出低，anchored）；无故障；若为 co_located 则 place_id 已匹配。,t0 physical_location 与 context.place_id 对齐；t1 本地对话/近身事件经 place_id 注入；t2 若前景另有所属则按物理场+前景场动作并集处理；t3 可说话/点头/不回复。,通过,E_FIELD + E_LOCAL + E_COMBO,,co_located + place_id + 动作并集可闭环；但 recovering 下更强本地强制事件细则仍偏粗。
N026,正常,基线矩阵,Co-located Conversation × resting：常规单轮输入-输出,前景场=Co-located Conversation（small / co_located / live / ephemeral / weak / members_only / engaged / conventional）；活动=resting（休息，低输出，唤醒门槛升高）；无故障；若为 co_located 则 place_id 已匹配。,t0 physical_location 与 context.place_id 对齐；t1 本地对话/近身事件经 place_id 注入；t2 若前景另有所属则按物理场+前景场动作并集处理；t3 可说话/点头/不回复。,通过,E_FIELD + E_LOCAL + E_COMBO,,co_located + place_id + 动作并集可闭环；但 recovering 下更强本地强制事件细则仍偏粗。
N027,正常,基线矩阵,Co-located Conversation × exercising：常规单轮输入-输出,前景场=Co-located Conversation（small / co_located / live / ephemeral / weak / members_only / engaged / conventional）；活动=exercising（运动，身体占用高，外部输入低频）；无故障；若为 co_located 则 place_id 已匹配。,t0 physical_location 与 context.place_id 对齐；t1 本地对话/近身事件经 place_id 注入；t2 若前景另有所属则按物理场+前景场动作并集处理；t3 可说话/点头/不回复。,通过,E_FIELD + E_LOCAL + E_COMBO,,co_located + place_id + 动作并集可闭环；但 recovering 下更强本地强制事件细则仍偏粗。
N028,正常,基线矩阵,Co-located Conversation × recovering：常规单轮输入-输出,前景场=Co-located Conversation（small / co_located / live / ephemeral / weak / members_only / engaged / conventional）；活动=recovering（恢复态，P0/P1 生存规则优先，consuming 活动受限）；无故障；若为 co_located 则 place_id 已匹配。,t0 physical_location 与 context.place_id 对齐；t1 本地对话/近身事件经 place_id 注入；t2 若前景另有所属则按物理场+前景场动作并集处理；t3 可说话/点头/不回复。,部分通过,E_FIELD + E_LOCAL + E_COMBO,I16,co_located + place_id + 动作并集可闭环；但 recovering 下更强本地强制事件细则仍偏粗。
N029,正常,基线矩阵,Focused Task Session × using_phone：常规单轮输入-输出,前景场=Focused Task Session（small/group / co_located|remote / live|stream / bounded / strong / members_only / focused|locked / formal|binding）；活动=using_phone（手机交互，输入开放较高，可移动）；无故障；若为 co_located 则 place_id 已匹配。,t0 bounded/strong 场已具 agenda、roles、pending_obligations；t1 活动决定输入门控，场决定 deadline/obligation/allowed actions；t2 正常执行 agenda；t3 满足 closeCondition 后 conclude/close。,通过,E_FIELD + E_OBL + E_COMBO + E_ACTIVITY,,强任务会场与高专注活动相容；resting/exercising/recovering 虽可表示，但业务语义较弱。
N030,正常,基线矩阵,Focused Task Session × using_computer：常规单轮输入-输出,前景场=Focused Task Session（small/group / co_located|remote / live|stream / bounded / strong / members_only / focused|locked / formal|binding）；活动=using_computer（电脑交互，中等开放，中等输出）；无故障；若为 co_located 则 place_id 已匹配。,t0 bounded/strong 场已具 agenda、roles、pending_obligations；t1 活动决定输入门控，场决定 deadline/obligation/allowed actions；t2 正常执行 agenda；t3 满足 closeCondition 后 conclude/close。,通过,E_FIELD + E_OBL + E_COMBO + E_ACTIVITY,,强任务会场与高专注活动相容；resting/exercising/recovering 虽可表示，但业务语义较弱。
N031,正常,基线矩阵,Focused Task Session × writing_on_computer：常规单轮输入-输出,前景场=Focused Task Session（small/group / co_located|remote / live|stream / bounded / strong / members_only / focused|locked / formal|binding）；活动=writing_on_computer（深度写作，输入稀疏，可中断性低，通常 anchored）；无故障；若为 co_located 则 place_id 已匹配。,t0 bounded/strong 场已具 agenda、roles、pending_obligations；t1 活动决定输入门控，场决定 deadline/obligation/allowed actions；t2 正常执行 agenda；t3 满足 closeCondition 后 conclude/close。,通过,E_FIELD + E_OBL + E_COMBO + E_ACTIVITY,,强任务会场与高专注活动相容；resting/exercising/recovering 虽可表示，但业务语义较弱。
N032,正常,基线矩阵,Focused Task Session × thinking_deep：常规单轮输入-输出,前景场=Focused Task Session（small/group / co_located|remote / live|stream / bounded / strong / members_only / focused|locked / formal|binding）；活动=thinking_deep（深度思考，urgent_only，输出低，anchored）；无故障；若为 co_located 则 place_id 已匹配。,t0 bounded/strong 场已具 agenda、roles、pending_obligations；t1 活动决定输入门控，场决定 deadline/obligation/allowed actions；t2 正常执行 agenda；t3 满足 closeCondition 后 conclude/close。,通过,E_FIELD + E_OBL + E_COMBO + E_ACTIVITY,,强任务会场与高专注活动相容；resting/exercising/recovering 虽可表示，但业务语义较弱。
N033,正常,基线矩阵,Focused Task Session × resting：常规单轮输入-输出,前景场=Focused Task Session（small/group / co_located|remote / live|stream / bounded / strong / members_only / focused|locked / formal|binding）；活动=resting（休息，低输出，唤醒门槛升高）；无故障；若为 co_located 则 place_id 已匹配。,t0 bounded/strong 场已具 agenda、roles、pending_obligations；t1 活动决定输入门控，场决定 deadline/obligation/allowed actions；t2 正常执行 agenda；t3 满足 closeCondition 后 conclude/close。,部分通过,E_FIELD + E_OBL + E_COMBO + E_ACTIVITY,I17,强任务会场与高专注活动相容；resting/exercising/recovering 虽可表示，但业务语义较弱。
N034,正常,基线矩阵,Focused Task Session × exercising：常规单轮输入-输出,前景场=Focused Task Session（small/group / co_located|remote / live|stream / bounded / strong / members_only / focused|locked / formal|binding）；活动=exercising（运动，身体占用高，外部输入低频）；无故障；若为 co_located 则 place_id 已匹配。,t0 bounded/strong 场已具 agenda、roles、pending_obligations；t1 活动决定输入门控，场决定 deadline/obligation/allowed actions；t2 正常执行 agenda；t3 满足 closeCondition 后 conclude/close。,部分通过,E_FIELD + E_OBL + E_COMBO + E_ACTIVITY,I17,强任务会场与高专注活动相容；resting/exercising/recovering 虽可表示，但业务语义较弱。
N035,正常,基线矩阵,Focused Task Session × recovering：常规单轮输入-输出,前景场=Focused Task Session（small/group / co_located|remote / live|stream / bounded / strong / members_only / focused|locked / formal|binding）；活动=recovering（恢复态，P0/P1 生存规则优先，consuming 活动受限）；无故障；若为 co_located 则 place_id 已匹配。,t0 bounded/strong 场已具 agenda、roles、pending_obligations；t1 活动决定输入门控，场决定 deadline/obligation/allowed actions；t2 正常执行 agenda；t3 满足 closeCondition 后 conclude/close。,部分通过,E_FIELD + E_OBL + E_COMBO + E_ACTIVITY,I17,强任务会场与高专注活动相容；resting/exercising/recovering 虽可表示，但业务语义较弱。
N036,正常,工作恢复,电话打断深度写作后出栈恢复,前景为写作文档对应 context；来电作为高优事件进入。,t0 pushForeground(电话)；t1 通话结束；t2 popForeground 恢复原写作帧与 resume_token；t3 继续写作。,通过,E_INDEX + E_ACTIVITY + E_COMBO,,ForegroundStack 与 ActivityInstance.resume_token 明确支持此类恢复。
N037,正常,工作恢复,会议中切到群聊查看被@后回到会议,物理位于会议室，前景为会议；群聊 mention 到达。,t0 mention 作为 external 到达；t1 若超过门槛则 pushForeground(群聊)；t2 处理后 pop 返回会议。,通过,E_LOCAL + E_COMBO + E_INDEX,,ForegroundStack 的核心用例。
N038,正常,工作恢复,无前景场散步时收到私聊,foreground=null；活动=resting/散步。,t0 direct chat 走 external；t1 是否唤醒只由活动+baseline attention 决定；t2 若响应则创建新前景帧。,通过,E_COMBO + E_INDEX,,文档明确 foreground=null 为合法状态。
N039,正常,写回,普通回复消息只更新 context，不必都入 durable ledger,direct chat 正常往返。,t0 收到消息；t1 回复；t2 更新 context.messages；t3 若无 durable 语义，仅作普通状态物化。,部分通过,E_OPS + E_COMBO,I04,哪些普通交互必须 durable 仍未完全界定。
N040,正常,写回,完成 agenda item 的正常写回,bounded session 中完成 agenda item。,t0 执行任务；t1 updateAgendaItem(expected_version) 成功；t2 版本+1；t3 若 obligations 完成则 closeCondition 通过。,通过,E_CONCUR + E_OBL + E_COMBO,,agenda 乐观锁与 closeCondition 足以支撑正常完成流。
N041,正常,写回,普通通知折叠,同一群聊 5 秒窗口内连续 3 条 ambient。,t0 通知进入 pending；t1 collapse_key 相同；t2 archive 原始通知并生成摘要。,通过,E_STORM + E_INDEX,,通知折叠与归档链条在正常流有效。
N042,正常,写回,通知 TTL 到期后过期,一条提醒通知带 ttl_sec。,t0 通知进入 pending；t1 未被处理；t2 TTL 到期后标记 expired，不再 assemble。,部分通过,E_INDEX + E_STORM,I13,总索引规定 TTL 与终局，但清扫器的统一执行路径仍未在所有文档完全闭合。
N043,正常,写回,bounded session 正常 conclude/close,会议完成所有 agenda 与 obligations。,t0 active；t1 所有 obligation=satisfied；t2 closeCondition=true；t3 生成 conclusion 并 close。,通过,E_FIELD + E_OBL + E_CLOSE,,bounded 场闭合逻辑较清晰。
N044,正常,写回,ContextClosedEvent 正常广播到所有参与者,一个 bounded context 正常关闭。,t0 status=closed；t1 广播 ContextClosedEvent；t2 清理通知/active_key/前景引用；t3 参与者收到 system 通知。,部分通过,E_CLOSE + E_INDEX,I03,目标正确，但正文仍残留 foreground_field_id 单值写法。
N045,正常,活动,recovering 状态缓慢回能,energy=10，活动=recovering。,t0 time-driven evolution；t1 energy 增长；t2 仍受 recovery_lock/输出降级约束；t3 到安全线后解锁。,通过,E_ENERGY + E_ACTIVITY,,P0 生存规则较完备。
N046,正常,活动,resting 半小时后收到 mention,activity=resting，foreground=null。,t0 mention 到达；t1 依 baseline + resting 门槛决定是否醒；t2 若不醒则留在 pending；t3 下次 wakeup 再看。,通过,E_COMBO + E_ACTIVITY,,foreground=null + external 路径闭环良好。
N047,正常,活动,recovering 完成后重新进入 using_computer,energy 由 35 恢复；recovery_lock=false。,t0 scheduler 允许切换；t1 current_activity 更新；t2 写回 reservation/object_ref；t3 输出带宽回 normal。,通过,E_ENERGY + E_ACTIVITY + E_INDEX,,迟滞锁解锁后可回到正常活动。
N048,正常,活动,写作保留窗口内拒绝低优中断,current_activity.reservation_until 尚未到期。,t0 ambient 群消息到达；t1 interrupt gate 拒绝；t2 通知缓冲；t3 过保留期后再处理。,通过,E_ACTIVITY + E_COMBO,,reservation 是 ActivityInstance 明确字段。
N049,正常,活动,思考状态 object_ref 绑定议题,activity=thinking_deep。,"t0 object_ref=""topic:system_architecture""；t1 输出为草图/笔记；t2 writeback_policy=normal 或 task_bound。",通过,E_ACTIVITY + E_INDEX,,ActivityInstance 补齐了 object 语义。
N050,正常,活动,电脑写作时自动绑定当前文档,activity=writing_on_computer。,t0 进入活动；t1 object_ref 绑定 doc；t2 回复消息时 object_ref 保持；t3 保存文档后继续。,部分通过,E_ACTIVITY + E_INDEX,I01,current_object_ref 顶层与 ActivityInstance.object_ref 并存残留，表达仍不统一。
N051,正常,活动,运动状态只处理 urgent call,activity=exercising。,t0 ambient/group 被过滤；t1 call 上调到 direct；t2 超过门槛则唤醒。,通过,E_OPS + E_COMBO + E_ACTIVITY,,modality=call 的上调规则明确。
N052,正常,本地场,会议室里被点名发言,physical_location=room_1，place_id 匹配，前景可能在电脑。,t0 点名作为 local direct/urgent 事件；t1 动作并集允许 speak_in_physical_room；t2 若需要可切前景。,部分通过,E_LOCAL + E_COMBO,I16,低头族悖论已部分修补，但更强身体级强制规则尚未形式化。
N053,正常,本地场,同屋闲聊时可无前景场直接回应,co_located conversation，foreground=null。,t0 同屋成员说话；t1 visibleSlice 依据 place_id 呈现；t2 allowedActions 包含 speak/gesture。,通过,E_FIELD + E_LOCAL + E_COMBO,,物理场动作并集的正常例子。
N054,正常,本地场,离开会议室后本地场消失,physical_location 从 room_1 变 hallway。,t0 LocationChanged；t1 不再满足 place_id；t2 本地可见性与本地动作消失；t3 只剩数字前景规则。,通过,E_FIELD + E_OPS + E_LOCAL,,place_id 机制在正常离场流中清晰。
N055,正常,本地场,进入会议室自动获得可见性而非自动抢前景,agent 走进已存在会议场。,t0 进入 place_id；t1 visibleSlice 可见该场；t2 是否 pushForeground 取决于门槛。,通过,E_FIELD + E_OPS + E_COMBO,,进入物理场不等于强切前景。
N056,正常,义务,binding 场创建一条待答复义务,focused session 中主持人分配任务。,t0 pending_obligations 新增 token；t1 owner 收到 direct/urgent 提醒；t2 assemble 保证自身 obligations 优先注入。,通过,E_FIELD + E_OBL + E_INDEX,,normative_force→pending_obligations 的闭环明确。
N057,正常,义务,owner 正常 satisfy obligation,owner 提交结果。,t0 satisfyObligation CAS 检查 pending；t1 状态变 satisfied；t2 closeCondition 更接近通过。,通过,E_CONCUR + E_OBL,,obligation 正常完成链清楚。
N058,正常,义务,deadline 前的提醒升级,obligation 有 due_at。,t0 接近 due_at；t1 priority 上调；t2 owner 收到提醒；t3 正常完成。,通过,E_OBL + E_OPS,,deadline 与 normative_force 在正常时限管理中可用。
N059,正常,义务,host 仲裁后重新分配任务,原 owner 忙碌但 host 存在。,t0 overdue；t1 tryReassignObligations 选择同角色候选；t2 新 owner 接收 direct 通知；t3 继续推进。,通过,E_OBL + E_COMBO,,正常仲裁链较完整。
N060,正常,义务,session 正常关闭后 obligation 归档,所有待办清空后 close。,t0 close；t1 archived_obligations 整理；t2 context 进入 archived/closed。,通过,E_CLOSE + E_OBL + E_COMBO,,生命周期管理支持正常收尾。
N061,正常,工程,duplicate notification 正常幂等去重,同一通知被重复 enqueue 两次。,t0 第二次入队；t1 enqueueNotificationIdempotent 检测已存在；t2 跳过。,通过,E_OPS,,通知幂等在正常重复投递场景下明确。
N062,正常,工程,recent messages 保证最小因果窗口,回复指定 sinceMessageId。,t0 assembleWithCausalOrder 查找起点；t1 自动补前 3 条上下文；t2 LLM 看到最小因果窗口。,通过,E_OPS,,因果窗口逻辑清晰。
N063,正常,工程,系统重启后错峰唤醒,夜间维护重启，许多 next_wakeup 已过期。,t0 restart；t1 对过期 wakeup 加 jitter；t2 避免同时苏醒；t3 回到常规调度。,部分通过,E_RESTART,I18,目标正确，但重启恢复段仍残留旧字段命名。
N064,正常,工程,Append-only messages 正常并发追加,两个 agent 同时发消息到同一 context。,t0 两条消息追加；t1 append-only 无冲突；t2 recent messages 可见。,通过,E_CONCUR + E_OPS,,messages 的并发语义最清楚。
N065,正常,工程,agenda 乐观锁冲突后重试成功,两人同时更新同一 agenda item。,t0 第二个写入版本不匹配；t1 得到 conflict；t2 重新拉取再写。,通过,E_CONCUR,,标准乐观锁正常路径。
